rank,word,count,occurrence_percentage,cumulative_percentage
1,"you",28787591,3.97004852,3.97004852
2,"i",27086011,3.73538647,7.70543500
3,"the",22761659,3.13902232,10.84445732
4,"to",17099834,2.35820950,13.20266682
5,"a",14484562,1.99754172,15.20020854
6,"'s",14291013,1.97084970,17.17105824
7,"it",13631703,1.87992536,19.05098360
8,"and",10572938,1.45809619,20.50907979
9,"that",10203742,1.40718099,21.91626078
10,"'t",9628970,1.32791515,23.24417593
11,"of",8915110,1.22946791,24.47364384
12,"is",7400675,1.02061471,25.49425855
13,"in",7337058,1.01184140,26.50609995
14,"what",6900164,0.95159008,27.45769002
15,"we",6755687,0.93166549,28.38935552
16,"me",6444985,0.88881710,29.27817262
17,"this",5739788,0.79156456,30.06973718
18,"he",5516364,0.76075253,30.83048971
19,"for",5174060,0.71354596,31.54403567
20,"my",4938948,0.68112206,32.22515773
21,"on",4821861,0.66497479,32.89013251
22,"have",4764010,0.65699665,33.54712917
23,"your",4610945,0.63588771,34.18301688
24,"do",4419883,0.60953867,34.79255555
25,"was",4401531,0.60700778,35.39956333
26,"'m",4386306,0.60490812,36.00447145
27,"no",4374975,0.60334548,36.60781694
28,"not",4262273,0.58780294,37.19561988
29,"be",4210868,0.58071376,37.77633364
30,"are",4203821,0.57974192,38.35607556
31,"don",4158644,0.57351164,38.92958720
32,"'re",4059719,0.55986906,39.48945626
33,"know",3892394,0.53679355,40.02624980
34,"can",3826118,0.52765353,40.55390334
35,"with",3806977,0.52501383,41.07891717
36,"but",3631462,0.50080885,41.57972602
37,"all",3544700,0.48884365,42.06856966
38,"so",3434152,0.47359816,42.54216782
39,"just",3334392,0.45984042,43.00200825
40,"there",3148528,0.43420823,43.43621648
41,"here",3138591,0.43283784,43.86905431
42,"they",3060204,0.42202762,44.29108193
43,"like",2983027,0.41138426,44.70246619
44,"'ll",2913428,0.40178598,45.10425217
45,"get",2883193,0.39761632,45.50186850
46,"she",2778359,0.38315884,45.88502734
47,"go",2738504,0.37766251,46.26268985
48,"if",2630800,0.36280923,46.62549907
49,"right",2576821,0.35536507,46.98086415
50,"out",2510010,0.34615128,47.32701543
51,"about",2487348,0.34302600,47.67004143
52,"up",2459855,0.33923449,48.00927592
53,"at",2431398,0.33531003,48.34458595
54,"him",2431059,0.33526328,48.67984923
55,"now",2298830,0.31702780,48.99687703
56,"oh",2298308,0.31695581,49.31383284
57,"one",2263956,0.31221839,49.62605123
58,"come",2203919,0.30393878,49.92999001
59,"well",2159909,0.29786944,50.22785945
60,"her",2154982,0.29718996,50.52504941
61,"how",2140365,0.29517416,50.82022357
62,"yeah",2000641,0.27590505,51.09612862
63,"'ve",1991871,0.27469560,51.37082422
64,"will",1969807,0.27165279,51.64247701
65,"got",1968389,0.27145723,51.91393424
66,"want",1950845,0.26903777,52.18297201
67,"think",1839473,0.25367864,52.43665066
68,"as",1792220,0.24716206,52.68381272
69,"see",1781493,0.24568272,52.92949544
70,"did",1742764,0.24034167,53.16983711
71,"good",1741730,0.24019907,53.41003618
72,"who",1734491,0.23920075,53.64923693
73,"why",1722797,0.23758805,53.88682499
74,"from",1709582,0.23576559,54.12259058
75,"let",1705262,0.23516983,54.35776041
76,"his",1666361,0.22980506,54.58756547
77,"yes",1634050,0.22534910,54.81291457
78,"when",1531731,0.21123846,55.02415303
79,"going",1520767,0.20972643,55.23387946
80,"time",1453708,0.20047844,55.43435790
81,"an",1449181,0.19985413,55.63421203
82,"okay",1428884,0.19705500,55.83126703
83,"back",1405024,0.19376451,56.02503154
84,"look",1348467,0.18596483,56.21099637
85,"us",1346903,0.18574914,56.39674551
86,"would",1340070,0.18480681,56.58155232
87,"them",1327509,0.18307455,56.76462687
88,"where",1322226,0.18234598,56.94697284
89,"were",1315964,0.18148239,57.12845524
90,"take",1312232,0.18096772,57.30942296
91,"then",1275502,0.17590235,57.48532531
92,"had",1274537,0.17576927,57.66109457
93,"or",1267646,0.17481894,57.83591351
94,"been",1265150,0.17447472,58.01038823
95,"our",1191941,0.16437859,58.17476682
96,"gonna",1188190,0.16386130,58.33862812
