rank,word,count,occurrence_percentage,cumulative_percentage
1,"ich",5890279,3.88270942,3.88270942
2,"sie",3806767,2.50931579,6.39202521
3,"das",3122198,2.05806679,8.45009199
4,"ist",3025610,1.99439864,10.44449064
5,"du",2947020,1.94259428,12.38708492
6,"nicht",2756783,1.81719530,14.20428022
7,"die",2484854,1.63794721,15.84222743
8,"es",2303025,1.51809055,17.36031797
9,"und",2289891,1.50943297,18.86975095
10,"der",1726001,1.13773224,20.00748319
11,"wir",1721620,1.13484441,21.14232760
12,"was",1696010,1.11796300,22.26029060
13,"zu",1424706,0.93912689,23.19941749
14,"er",1352161,0.89130723,24.09072472
15,"ein",1315301,0.86701013,24.95773485
16,"in",1231372,0.81168645,25.76942131
17,"ja",1054114,0.69484287,26.46426417
18,"mir",1019451,0.67199398,27.13625815
19,"mit",1014541,0.66875744,27.80501559
20,"wie",928920,0.61231844,28.41733402
21,"den",920646,0.60686444,29.02419847
22,"mich",893076,0.58869106,29.61288953
23,"auf",881418,0.58100643,30.19389596
24,"dass",879520,0.57975532,30.77365128
25,"aber",854492,0.56325755,31.33690883
26,"eine",839485,0.55336535,31.89027419
27,"so",813903,0.53650240,32.42677659
28,"hat",799017,0.52668996,32.95346655
29,"hier",754243,0.49717618,33.45064273
30,"haben",742327,0.48932148,33.93996421
31,"für",735252,0.48465783,34.42462205
32,"sind",727078,0.47926976,34.90389181
33,"war",712337,0.46955290,35.37344470
34,"von",706490,0.46569872,35.83914342
35,"wenn",694462,0.45777019,36.29691361
36,"dich",688780,0.45402477,36.75093839
37,"ihr",655351,0.43198930,37.18292769
38,"nein",641479,0.42284526,37.60577295
39,"habe",636175,0.41934901,38.02512196
40,"an",627600,0.41369661,38.43881856
41,"bin",576589,0.38007156,38.81889013
42,"noch",572486,0.37736698,39.19625710
43,"nur",564245,0.37193474,39.56819184
44,"da",564244,0.37193408,39.94012592
45,"dir",554802,0.36571017,40.30583609
46,"sich",533395,0.35159927,40.65743536
47,"einen",532402,0.35094471,41.00838007
48,"uns",523604,0.34514531,41.35352538
49,"hast",511491,0.33716076,41.69068614
50,"dem",465044,0.30654418,41.99723032
51,"kann",461755,0.30437616,42.30160647
52,"gut",452726,0.29842449,42.60003096
53,"auch",449250,0.29613321,42.89616417
54,"schon",442343,0.29158030,43.18774447
55,"als",440490,0.29035886,43.47810333
56,"sein",440142,0.29012946,43.76823279
57,"mal",435631,0.28715594,44.05538873
58,"jetzt",435411,0.28701092,44.34239965
59,"ihn",435147,0.28683690,44.62923655
60,"dann",429424,0.28306445,44.91230100
61,"aus",425184,0.28026956,45.19257056
62,"meine",420280,0.27703698,45.46960754
