rank,word,count,occurrence_percentage,cumulative_percentage
1,"de",14459520,3.49885743,3.49885743
2,"que",14421005,3.48953773,6.98839516
3,"no",12379505,2.99554363,9.98393879
4,"a",9549646,2.31078555,12.29472434
5,"la",9125471,2.20814536,14.50286971
6,"el",7531226,1.82237627,16.32524597
7,"y",7128745,1.72498551,18.05023148
8,"es",6993497,1.69225873,19.74249021
9,"en",6817324,1.64962909,21.39211929
10,"lo",6041793,1.46196916,22.85408846
11,"un",5605577,1.35641534,24.21050380
12,"por",4454673,1.07792415,25.28842794
13,"qué",4166708,1.00824351,26.29667146
14,"me",3927712,0.95041221,27.24708366
15,"una",3846322,0.93071778,28.17780144
16,"los",3069193,0.74267118,28.92047262
17,"se",3058120,0.73999178,29.66046439
18,"te",3034375,0.73424606,30.39471045
19,"con",3028045,0.73271435,31.12742480
20,"para",2832100,0.68530035,31.81272515
21,"está",2433246,0.58878724,32.40151239
22,"mi",2403204,0.58151779,32.98303018
23,"pero",2369484,0.57335836,33.55638854
24,"sí",2350514,0.56876808,34.12515662
25,"si",2348665,0.56832066,34.69347728
26,"bien",2045290,0.49491118,35.18838846
27,"eso",2029720,0.49114361,35.67953208
28,"su",2005512,0.48528586,36.16481794
29,"las",2001203,0.48424318,36.64906112
30,"yo",1915934,0.46361013,37.11267125
31,"del",1647872,0.39874555,37.51141679
32,"como",1630651,0.39457848,37.90599527
33,"aquí",1625090,0.39323285,38.29922812
34,"tu",1618746,0.39169775,38.69092587
35,"al",1549489,0.37493922,39.06586509
36,"más",1503527,0.36381751,39.42968260
37,"le",1432173,0.34655156,39.77623415
38,"esto",1297847,0.31404788,40.09028204
39,"todo",1296897,0.31381800,40.40410004
40,"ya",1115265,0.26986741,40.67396745
41,"estoy",1092574,0.26437673,40.93834418
42,"ahora",1088174,0.26331204,41.20165622
43,"muy",1086248,0.26284599,41.46450222
44,"ha",1071928,0.25938090,41.72388311
45,"esta",1051900,0.25453460,41.97841771
46,"así",1050332,0.25415518,42.23257289
47,"vamos",1049315,0.25390909,42.48648198
48,"algo",1039192,0.25145957,42.73794155
49,"hay",1014288,0.24543340,42.98337495
50,"bueno",1012700,0.24504914,43.22842409
51,"tengo",954371,0.23093492,43.45935901
52,"él",931487,0.22539754,43.68475654
53,"cuando",931329,0.22535931,43.91011585
54,"estás",917354,0.22197769,44.13209354
55,"sé",911639,0.22059480,44.35268834
56,"tú",906053,0.21924312,44.57193146
57,"nos",866968,0.20978549,44.78171694
58,"nada",863844,0.20902955,44.99074650
59,"cómo",862349,0.20866780,45.19941430
60,"este",858931,0.20784072,45.40725502
61,"o",843972,0.20422100,45.61147603
62,"he",820376,0.19851134,45.80998736
63,"ser",819688,0.19834486,46.00833222
